panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2b_dual_staggered_return,5,5,7,3.821986750,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,8,3.821839000,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,9,3.821973500,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,10,3.822393250,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,6,1,4.172264000,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,2,4.172159000,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,3,4.171447000,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,4,4.172271750,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,5,4.171194750,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,6,4.171743750,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,7,4.171377500,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,8,4.171530750,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,9,4.171602500,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,6,10,4.171729250,4.171732025,0.000272888,20000,4000000,20260901,"28 28 29 30 31 32"
table2b_dual_staggered_return,5,7,1,4.421567250,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,2,4.421324500,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,3,4.420982500,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,4,4.422026500,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,5,4.420640000,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,6,4.421349500,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,7,4.420807500,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,8,4.421330250,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,9,4.421271000,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,7,10,4.420883000,4.421218200,0.000291071,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2b_dual_staggered_return,5,8,1,4.593721000,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,2,4.593497250,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,3,4.593602500,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,4,4.594277500,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,5,4.593105500,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,6,4.593897500,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,7,4.593218250,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,8,4.593936500,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,9,4.593822250,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,8,10,4.593524250,4.593660250,0.000249532,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2b_dual_staggered_return,5,9,1,4.712339500,4.712529275,0.000319298,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2b_dual_staggered_return,5,9,2,4.712186250,4.712529275,0.000319298,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
