panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2a_single_staggered,5,6,1,3.684642500,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,2,3.683768500,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,3,3.684671750,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,4,3.684777750,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,5,3.683932000,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,6,3.684718500,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,7,3.683717500,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,8,3.684232500,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,9,3.684449000,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,6,10,3.684164750,3.684307475,0.000288188,20000,4000000,20260901,"28 28 29 30 31 32"
table2a_single_staggered,5,7,1,3.944930750,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,2,3.943688500,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,3,3.944794750,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,4,3.944511000,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,5,3.943714250,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,6,3.944611250,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,7,3.944061500,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,8,3.944344500,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,9,3.944731000,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,7,10,3.944633500,3.944402100,0.000315688,20000,4000000,20260901,"28 28 29 30 31 32 33"
table2a_single_staggered,5,8,1,4.152474000,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,2,4.151237500,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,3,4.152449500,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,4,4.152325750,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,5,4.152013000,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,6,4.152385500,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,7,4.151968000,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,8,4.152075500,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,9,4.152405000,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,8,10,4.152288750,4.152162250,0.000267018,20000,4000000,20260901,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,9,1,4.318807500,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,2,4.317772750,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,3,4.318675250,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,4,4.318387500,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,5,4.318252000,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,6,4.318592250,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,7,4.318332000,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,8,4.318556000,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,5,9,9,4.318676250,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
