panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2c_dual_staggered_turnaround,4,8,20,3.850195489,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,21,3.849112030,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,22,3.848453383,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,23,3.849951128,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,24,3.847918797,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,25,3.849029323,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,26,3.850245113,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,27,3.849878195,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,28,3.848712782,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,29,3.850363910,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,30,3.848302256,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,9,1,3.895169173,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,2,3.896062406,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,3,3.896224812,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,4,3.896275188,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,5,3.895703759,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,6,3.894387970,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,7,3.895847368,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,8,3.893642857,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,9,3.895450376,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
table2c_dual_staggered_turnaround,4,9,10,3.895419549,3.895471729,0.000351149,20000,1330000,20260901,"24 24 25 26 27 28 29 30 31"
