n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,0,0|0|0|0|0|0|1|3|3|8,,1,15,9.007956,0.000860,15,9.007761,0.001074
15,10,15,0,0|0|0|0|0|1|1|1|4|8,,1,15,9.288914,0.000576,15,9.288627,0.000555
15,10,15,0,0|0|0|0|0|0|1|2|4|8,,1,15,9.006780,0.000833,15,9.006989,0.001043
15,10,15,0,0|0|0|0|0|0|0|3|4|8,,1,15,8.642163,0.000993,15,8.642435,0.001000
15,10,15,0,0|0|0|0|0|0|1|1|5|8,,1,15,8.986547,0.000871,15,8.986244,0.000873
15,10,15,0,0|0|0|0|0|0|0|2|5|8,,1,15,8.641352,0.000957,15,8.641260,0.000815
15,10,15,0,0|0|0|0|0|0|0|1|6|8,,1,15,8.626371,0.000878,15,8.626295,0.000564
15,10,15,0,0|0|0|0|0|0|0|0|7|8,,1,15,8.211704,0.000969,15,8.211543,0.000649
15,10,15,0,0|0|0|1|1|1|1|1|1|9,,1,15,9.656703,0.000310,15,9.656728,0.000603
15,10,15,0,0|0|0|0|1|1|1|1|2|9,,1,15,9.525729,0.000486,15,9.525810,0.000429
15,10,15,0,0|0|0|0|0|1|1|2|2|9,,1,15,9.309698,0.000641,15,9.309248,0.000663
15,10,15,0,0|0|0|0|0|0|2|2|2|9,,1,15,9.014936,0.000770,15,9.014276,0.000680
15,10,15,0,0|0|0|0|0|1|1|1|3|9,,1,15,9.288500,0.000789,15,9.288162,0.000432
15,10,15,0,0|0|0|0|0|0|1|2|3|9,,1,15,9.006651,0.000789,15,9.006692,0.000818
15,10,15,0,0|0|0|0|0|0|0|3|3|9,,1,15,8.642206,0.001070,15,8.642297,0.000613
15,10,15,0,0|0|0|0|0|0|1|1|4|9,,1,15,8.986045,0.000633,15,8.986406,0.000828
15,10,15,0,0|0|0|0|0|0|0|2|4|9,,1,15,8.641546,0.000802,15,8.641334,0.001098
15,10,15,0,0|0|0|0|0|0|0|1|5|9,,1,15,8.626603,0.001193,15,8.626265,0.000822
15,10,15,0,0|0|0|0|0|0|0|0|6|9,,1,15,8.211352,0.001089,15,8.211789,0.001092
15,10,15,0,0|0|0|0|1|1|1|1|1|10,,1,15,9.479872,0.000560,15,9.480198,0.000726
15,10,15,0,0|0|0|0|0|1|1|1|2|10,,1,15,9.284158,0.000766,15,9.284227,0.000739
15,10,15,0,0|0|0|0|0|0|1|2|2|10,,1,15,9.003819,0.000679,15,9.003308,0.000938
15,10,15,0,0|0|0|0|0|0|1|1|3|10,,1,15,8.985905,0.000788,15,8.986134,0.000602
15,10,15,0,0|0|0|0|0|0|0|2|3|10,,1,15,8.641357,0.001042,15,8.641721,0.000891
15,10,15,0,0|0|0|0|0|0|0|1|4|10,,1,15,8.626582,0.000976,15,8.626349,0.000750
15,10,15,0,0|0|0|0|0|0|0|0|5|10,,1,15,8.211726,0.000856,15,8.211614,0.001088
15,10,15,0,0|0|0|0|0|1|1|1|1|11,,1,15,9.244152,0.000701,15,9.244165,0.000694
15,10,15,0,0|0|0|0|0|0|1|1|2|11,,1,15,8.983251,0.000488,15,8.983089,0.000673
15,10,15,0,0|0|0|0|0|0|0|2|2|11,,1,15,8.639288,0.000880,15,8.639337,0.000784
15,10,15,0,0|0|0|0|0|0|0|1|3|11,,1,15,8.626150,0.000693,15,8.626372,0.001179
15,10,15,0,0|0|0|0|0|0|0|0|4|11,,1,15,8.212105,0.000935,15,8.211467,0.001022
15,10,15,0,0|0|0|0|0|0|1|1|1|12,,1,15,8.949904,0.001010,15,8.949710,0.001049
15,10,15,0,0|0|0|0|0|0|0|1|2|12,,1,15,8.623987,0.000802,15,8.624666,0.001106
15,10,15,0,0|0|0|0|0|0|0|0|3|12,,1,15,8.211766,0.000910,15,8.211335,0.001094
15,10,15,0,0|0|0|0|0|0|0|1|1|13,,1,15,8.598157,0.001127,15,8.597759,0.000971
15,10,15,0,0|0|0|0|0|0|0|0|2|13,,1,15,8.210784,0.001345,15,8.210196,0.001088
15,10,15,0,0|0|0|0|0|0|0|0|1|14,,1,15,8.191238,0.000898,15,8.191299,0.000859
15,10,15,0,0|0|0|0|0|0|0|0|0|15,,1,15,7.731992,0.001286,15,7.731802,0.000925
