n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|4|4|4,1,15,13.467909,0.001169,15,13.468210,0.001057
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|3|4|4|4,1,15,13.106825,0.000892,15,13.107189,0.000932
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|1|1|1|1|1|5,1,15,14.095900,0.001691,15,14.095895,0.001429
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|1|2|5,1,15,14.142398,0.001873,15,14.142328,0.001759
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|2|2|5,1,15,14.130588,0.002129,15,14.131652,0.001294
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|2|2|2|5,1,15,14.067662,0.001185,15,14.068418,0.001450
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|2|2|2|2|5,1,15,13.945263,0.000928,15,13.945191,0.001598
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|2|2|2|2|2|5,1,15,13.750451,0.001413,15,13.750574,0.001143
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|1|3|5,1,15,14.108248,0.001841,15,14.108793,0.001287
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|2|3|5,1,15,14.066990,0.001671,15,14.067311,0.001681
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|2|2|3|5,1,15,13.957931,0.001672,15,13.958577,0.000904
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|2|2|2|3|5,1,15,13.771081,0.000972,15,13.770516,0.000718
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|3|3|5,1,15,13.934292,0.001071,15,13.934571,0.001452
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|2|3|3|5,1,15,13.762622,0.001271,15,13.762642,0.001353
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|2|3|3|5,1,15,13.493857,0.000984,15,13.494432,0.001199
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|3|3|3|5,1,15,13.479691,0.000942,15,13.479631,0.000955
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|1|4|5,1,15,14.020009,0.001127,15,14.019872,0.001638
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|2|4|5,1,15,13.934122,0.001162,15,13.934440,0.001585
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|2|2|4|5,1,15,13.761836,0.001510,15,13.761297,0.000841
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|2|2|4|5,1,15,13.492310,0.000759,15,13.492568,0.000746
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|3|4|5,1,15,13.736703,0.001226,15,13.736486,0.000759
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|3|4|5,1,15,13.483541,0.001197,15,13.483753,0.000742
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|3|3|4|5,1,15,13.115002,0.001031,15,13.115083,0.001520
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|4|4|5,1,15,13.451982,0.001026,15,13.451769,0.001160
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|4|4|5,1,15,13.113395,0.001467,15,13.114670,0.001234
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|1|5|5,1,15,13.875150,0.000940,15,13.874663,0.001027
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|2|5|5,1,15,13.728723,0.001124,15,13.728645,0.001062
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|2|5|5,1,15,13.476987,0.001073,15,13.476505,0.000996
