n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|2|5|5,,1,15,12.562078,0.001253,15,12.562688,0.001074
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|2|5|5,,1,15,12.152437,0.001319,15,12.152582,0.001369
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|3|5|5,,1,15,12.117967,0.001027,15,12.117452,0.001144
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|3|5|5,,1,15,11.636469,0.001120,15,11.636345,0.002046
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|4|5|5,,1,15,11.602827,0.001044,15,11.603327,0.001658
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|5|5|5,,1,15,11.037681,0.001512,15,11.038436,0.001070
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|1|1|1|6,,1,15,13.419120,0.000946,15,13.419285,0.001010
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|1|2|6,,1,15,13.376465,0.000873,15,13.376505,0.000797
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|2|2|6,,1,15,13.225420,0.001163,15,13.225214,0.001401
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|2|2|2|6,,1,15,12.968986,0.001193,15,12.969070,0.000881
15,15,15,0,0|0|0|0|0|0|0|0|0|1|2|2|2|2|6,,1,15,12.611908,0.001262,15,12.612009,0.000969
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|1|3|6,,1,15,13.172020,0.001237,15,13.172077,0.001176
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|2|3|6,,1,15,12.948487,0.001236,15,12.948287,0.000976
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|2|2|3|6,,1,15,12.611788,0.001067,15,12.611841,0.000874
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|2|2|3|6,,1,15,12.174231,0.001214,15,12.174234,0.001091
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|3|3|6,,1,15,12.570507,0.001135,15,12.570914,0.001733
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|3|3|6,,1,15,12.158658,0.000974,15,12.158210,0.001172
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|3|3|3|6,,1,15,11.636330,0.000724,15,11.635843,0.001160
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|1|4|6,,1,15,12.864021,0.000825,15,12.864180,0.001346
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|2|4|6,,1,15,12.565370,0.000958,15,12.565786,0.001379
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|2|4|6,,1,15,12.153283,0.000995,15,12.153515,0.001062
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|3|4|6,,1,15,12.118784,0.001422,15,12.117997,0.001100
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|3|4|6,,1,15,11.635546,0.001502,15,11.635785,0.001459
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|4|4|6,,1,15,11.603883,0.001102,15,11.604092,0.001003
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|1|5|6,,1,15,12.481959,0.001056,15,12.482248,0.001213
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|2|5|6,,1,15,12.109891,0.000950,15,12.109496,0.001262
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|2|5|6,,1,15,11.630582,0.001170,15,11.630369,0.001821
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|3|5|6,,1,15,11.603879,0.001267,15,11.603375,0.001369
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|4|5|6,,1,15,11.038694,0.001507,15,11.038899,0.001808
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|6|6,,1,15,12.040333,0.000861,15,12.040294,0.001173
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|2|6|6,,1,15,11.596812,0.001734,15,11.597755,0.001496
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|3|6|6,,1,15,11.037494,0.000964,15,11.037955,0.001542
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|1|1|7,,1,15,13.230593,0.000999,15,13.230765,0.001029
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|1|2|7,,1,15,13.130075,0.000833,15,13.130480,0.001173
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|2|2|7,,1,15,12.910589,0.001430,15,12.910532,0.001095
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|2|2|2|7,,1,15,12.580561,0.001055,15,12.580248,0.001103
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|2|2|2|7,,1,15,12.150733,0.000753,15,12.150984,0.001294
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|1|3|7,,1,15,12.856250,0.000742,15,12.856474,0.000930
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|2|3|7,,1,15,12.558271,0.001023,15,12.558795,0.001091
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|2|3|7,,1,15,12.148883,0.001797,15,12.148735,0.001383
