n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|3|6,1,15,9.968957,0.000137,15,9.968956,0.000141
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|2|3|6,1,15,9.952154,0.000147,15,9.952185,0.000143
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|2|2|3|6,1,15,9.900223,0.000340,15,9.900181,0.000286
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|2|2|2|3|6,1,15,9.806765,0.000391,15,9.806812,0.000456
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|3|3|6,1,15,9.895575,0.000240,15,9.895562,0.000286
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|3|3|6,1,15,9.805223,0.000420,15,9.805345,0.000266
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|3|3|3|6,1,15,9.665047,0.000628,15,9.664859,0.000472
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|4|6,1,15,9.941517,0.000178,15,9.941390,0.000150
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|2|4|6,1,15,9.895212,0.000336,15,9.895048,0.000339
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|2|4|6,1,15,9.804982,0.000277,15,9.804972,0.000334
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|3|4|6,1,15,9.800859,0.000421,15,9.801007,0.000459
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|3|4|6,1,15,9.664932,0.000608,15,9.665035,0.000488
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|4|4|6,1,15,9.661181,0.000481,15,9.661548,0.000509
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|5|6,1,15,9.884838,0.000336,15,9.884835,0.000234
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|2|5|6,1,15,9.800364,0.000403,15,9.800366,0.000397
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|2|5|6,1,15,9.664868,0.000416,15,9.664757,0.000523
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|3|5|6,1,15,9.661342,0.000470,15,9.661278,0.000527
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|4|5|6,1,15,9.471711,0.000608,15,9.471767,0.000492
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|6|6,1,15,9.791017,0.000289,15,9.791119,0.000386
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|2|6|6,1,15,9.660895,0.000492,15,9.660963,0.000620
