timestamp,elapsed_sec,m,n,B,bidirectional,K,s_size,s_mean,s_CI_halfwidth_onesided,s_CI_halfwidth_twosided,s_buffers,c_size,c_mean,c_CI_halfwidth_onesided,c_CI_halfwidth_twosided,c_buffers,m_S_star_blocks,m_worst_C_blocks,epsilon_hat,certified
2026-09-01T22:02:36,18530.4,5,4,10,1,19448,23,0.9704895765,2.978133123e-05,3.297513094e-05,"forward=[0,0,0,0,0] | backward=[0,1,1,3,5]",19425,0.9712156863,0.0006712688018,0.0007432567895,"forward=[0,1,0,0,5] | backward=[0,0,1,3,0]",2749979,5000,0.001440552135,0
2026-09-01T17:05:10,46.1228,5,4,1,0,4,1,0.8311198619,6.213677422e-05,6.880042568e-05,"forward=[0,0,0,0,1] | backward=[0,0,0,0,0]",3,0.8173230646,0.0003945597592,0.0004368730069,"forward=[0,0,0,1,0] | backward=[0,0,0,0,0]",249997,5000,0,1
2026-09-01T17:06:27,75.7509,5,4,1,1,8,1,0.9110496204,6.291236224e-05,6.965918906e-05,"forward=[0,0,0,0,0] | backward=[0,0,0,0,1]",7,0.9047531012,0.0004189239904,0.0004638500989,"forward=[0,0,0,0,1] | backward=[0,0,0,0,0]",249999,5000,0,1
2026-09-01T17:04:24,63.5648,5,4,2,0,10,2,0.8913452695,6.400928019e-05,7.087374232e-05,"forward=[0,0,0,1,1] | backward=[0,0,0,0,0]",8,0.8425570228,0.0003676505587,0.0004070780188,"forward=[0,0,0,2,0] | backward=[0,0,0,0,0]",249999,5000,0,1
2026-09-01T17:05:36,114.386,5,4,2,1,36,2,0.9416639586,7.428386304e-05,8.22501886e-05,"forward=[0,0,0,0,0] | backward=[0,0,0,1,1]",34,0.9298970765,0.00053072841,0.0005876446112,"forward=[0,0,0,0,1] | backward=[0,0,0,0,1]",249997,5000,0,1
2026-09-01T17:03:41,81.452,5,4,3,0,20,3,0.9203618061,7.160223729e-05,7.928098083e-05,"forward=[0,0,0,1,2] | backward=[0,0,0,0,0]",17,0.9076876126,0.0004211972943,0.0004663671957,"forward=[0,0,0,2,1] | backward=[0,0,0,0,0]",249998,5000,0,1
2026-09-01T17:06:11,183.13,5,4,3,1,120,3,0.9527256185,7.785241828e-05,8.620144166e-05,"forward=[0,0,0,0,0] | backward=[0,0,1,1,1]",117,0.9378259652,0.0005864408176,0.0006493317105,"forward=[0,0,0,0,1] | backward=[0,0,0,0,2]",249997,5000,0,1
2026-09-01T17:03:07,115.995,5,4,4,0,35,5,0.9410804813,7.594661311e-05,8.409125477e-05,"forward=[0,0,1,1,2] | backward=[0,0,0,0,0]",30,0.9128343006,0.0004263397714,0.0004720611607,"forward=[0,0,0,3,1] | backward=[0,0,0,0,0]",249997,5000,0,1
2026-09-01T17:07:59,368.822,5,4,4,1,330,5,0.9591022252,8.863028156e-05,9.813514101e-05,"forward=[0,0,0,0,0] | backward=[0,0,1,1,2]",325,0.9597324395,0.0006133045527,0.0006790763575,"forward=[0,0,0,0,1] | backward=[0,0,1,1,1]",249999,5000,0.001303204493,0
2026-09-01T17:01:50,138.765,5,4,5,0,56,6,0.9505400145,8.573200642e-05,9.492605e-05,"forward=[0,0,1,1,3] | backward=[0,0,0,0,0]",50,0.9345623624,0.0005119139133,0.0005668124165,"forward=[0,0,0,3,2] | backward=[0,0,0,0,0]",249998,5000,0,1
2026-09-01T17:11:54,693.876,5,4,5,1,792,6,0.9624517105,6.327924716e-05,7.006541933e-05,"forward=[0,0,0,0,0] | backward=[0,0,1,2,2]",786,0.9626467881,0.0006282485468,0.0006956229704,"forward=[0,0,0,0,1] | backward=[0,0,1,2,1]",499996,5000,0.0008587551416,1
2026-09-01T17:02:19,191.062,5,4,6,0,84,9,0.9568833572,8.036186033e-05,8.898000047e-05,"forward=[0,1,1,2,2] | backward=[0,0,0,0,0]",75,0.9358013603,0.0005164976497,0.0005718877204,"forward=[0,0,0,4,2] | backward=[0,0,0,0,0]",249995,5000,0,1
2026-09-01T17:21:43,1353.5,5,4,6,1,1716,9,0.9647412866,5.410563789e-05,5.990801687e-05,"forward=[0,0,0,0,0] | backward=[0,0,1,2,3]",1707,0.965079816,0.0006494456712,0.0007190933098,"forward=[0,0,0,1,3] | backward=[0,0,1,1,0]",749993,5000,0.001026419802,0
2026-09-01T16:59:09,232.544,5,4,7,0,120,11,0.961812241,8.828707239e-05,9.775512551e-05,"forward=[0,1,1,2,3] | backward=[0,0,0,0,0]",109,0.9454821786,0.0005831337779,0.0006456700183,"forward=[0,0,0,4,3] | backward=[0,0,0,0,0]",249997,5000,0,1
2026-09-01T17:44:36,2861.31,5,4,7,1,3432,11,0.9665523465,3.806138579e-05,4.214315239e-05,"forward=[0,0,0,0,0] | backward=[0,1,1,2,3]",3421,0.9671012202,0.0006289830626,0.0006964362569,"forward=[0,1,0,1,1] | backward=[0,0,1,1,2]",1499987,5000,0.001219809949,0
2026-09-01T16:59:31,305.926,5,4,8,0,165,15,0.9645599645,8.960086282e-05,9.920980902e-05,"forward=[0,1,1,3,3] | backward=[0,0,0,0,0]",150,0.9458828594,0.0005791929739,0.0006413065959,"forward=[0,0,0,5,3] | backward=[0,0,0,0,0]",249999,5000,0,1
2026-09-01T18:34:15,5954.72,5,4,8,1,6435,15,0.9680368702,4.30032214e-05,4.76149587e-05,"forward=[0,0,0,0,0] | backward=[0,1,1,2,4]",6420,0.9687608565,0.0006723152541,0.000744415465,"forward=[0,0,0,0,1] | backward=[0,1,1,2,3]",1249983,5000,0.001443828761,0
2026-09-01T17:00:20,368.635,5,4,9,0,220,18,0.9667047285,9.38545363e-05,0.0001039196535,"forward=[0,1,1,3,4] | backward=[0,0,0,0,0]",202,0.9510186037,0.0006238023923,0.0006907000029,"forward=[0,0,0,5,4] | backward=[0,0,0,0,0]",249999,5000,0,1
2026-09-01T19:42:06,10074,5,4,9,1,11440,18,0.9693408971,3.205895884e-05,3.549701514e-05,"forward=[0,0,0,0,0] | backward=[0,1,1,3,4]",11422,0.9698823765,0.0006704495094,0.0007423496347,"forward=[0,0,0,2,1] | backward=[0,1,1,1,3]",2249970,5000,0.001251052968,0
